,,NA_rate,mismatch_rate,no_of_NAs,no_of_totals,no_of_mismatches,no_of_non_NA_pairs,relative_NA_rate,relative_no_of_NAs,relative_no_of_totals
6930,Kz-1,0.552016985138,0.0,260,471,0,64,0.0,0,65
6931,Kz-9,0.00424628450106,0.0,2,471,0,65,0.0,0,65
6932,Ler-1,0.0424628450106,0.0,20,471,0,65,0.0,0,65
6933,LL-0,0.0297239915074,0.0,14,471,0,65,0.0,0,65
6936,Lz-0,0.0658174097665,0.0,31,471,0,65,0.0,0,65
6937,Mrk-0,0.0467091295117,0.0,22,471,0,65,0.0,0,65
6939,Mt-0,0.174097664544,-1,82,471,0,0,1.0,65,65
6940,Mz-0,0.552016985138,-1,260,471,0,0,0.0,0,65
6942,Nd-1,0.00849256900212,0.0,4,471,0,65,0.0,0,65
6943,NFA-10,0.00636942675159,0.0,3,471,0,65,0.0,0,65
6944,NFA-8,0.526539278132,0.0,248,471,0,65,0.0,0,65
6945,Nok-3,0.00849256900212,0.0,4,471,0,65,0.0,0,65
6946,Oy-0,0.0,0.0,0,471,0,65,0.0,0,65
6951,Pu2-23,0.00212314225053,0.0,1,471,0,65,0.0,0,65
6956,Pu2-7,0.00424628450106,0.0,2,471,0,65,0.0,0,65
6957,Pu-2-8,0.0530785562633,0.0,25,471,0,65,0.0,0,65
6958,Ra-0,0.0424628450106,0.0,20,471,0,65,0.0,0,65
6959,Ren-1,0.0445859872611,-1,21,471,0,0,0.0,0,65
6960,Ren-11,0.00212314225053,0.0,1,471,0,61,0.0,0,65
6961,Se-0,0.256900212314,0.0,121,471,0,65,0.0,0,65
6962,Shahdara,0.617834394904,-1,291,471,0,0,0.0,0,65
6963,Sorbo,0.00212314225053,-1,1,471,0,0,0.0,0,65
6964,Spr1-2,0.611464968153,0.0,288,471,0,65,0.0,0,65
6965,Spr1-6,0.0106157112527,0.0,5,471,0,65,0.0,0,65
6966,Sq-1,0.524416135881,0.0,247,471,0,65,0.0,0,65
6967,Sq-8,0.0,0.0,0,471,0,65,0.0,0,65
6968,Tamm-2,0.532908704883,-1,251,471,0,0,0.0,0,65
6969,Tamm-27,0.552016985138,0.0,260,471,0,65,0.0,0,65
6970,Ts-1,0.0,0.0,0,471,0,65,0.0,0,65
6971,Ts-5,0.171974522293,-1,81,471,0,0,1.0,65,65
6972,Tsu-1,0.0424628450106,-1,20,471,0,0,0.0,0,65
6973,Ull2-3,0.00212314225053,0.0,1,471,0,65,0.0,0,65
6974,Ull2-5,0.00212314225053,0.0,1,471,0,65,0.0,0,65
6975,Uod-1,0.0339702760085,-1,16,471,0,0,0.0,0,65
6976,Uod-7,0.0997876857749,0.0,47,471,0,65,0.0,0,65
6977,Van-0,0.0169851380042,0.0,8,471,0,65,0.0,0,65
6978,Wa-1,0.526539278132,-1,248,471,0,0,0.0,0,65
6979,Wei-0,0.11889596603,-1,56,471,0,0,0.0,0,65
6980,Ws-0,0.00212314225053,0.0,1,471,0,65,0.0,0,65
6981,Ws-2,0.613588110403,0.0,289,471,0,64,0.0,0,65
6982,Wt-5,0.216560509554,-1,102,471,0,0,0.984615384615,64,65
6983,Yo-0,0.00212314225053,0.0,1,471,0,11,0.0,0,65
6984,Zdr-1,0.526539278132,0.0,248,471,0,55,0.0,0,65
6985,Zdr-6,0.526539278132,-1,248,471,0,0,0.0,0,65
7438,CS22491,0.00212314225053,-1,1,471,0,0,0.0,0,65
7453,M3385S,0.0849256900212,0.0153846153846,40,471,1,65,0.0,0,65
7514,RRS-7,0.290870488323,0.0,137,471,0,2,0.969230769231,63,65
7515,RRS-10,0.0276008492569,0.0,13,471,0,65,0.0,0,65
7516,Var2-1,0.532908704883,0.0,251,471,0,65,0.0,0,65
7517,Var2-6,0.532908704883,0.0,251,471,0,64,0.0,0,65
7518,Omo2-1,0.532908704883,0.0,251,471,0,65,0.0,0,65
7519,Omo2-3,0.00636942675159,0.0,3,471,0,65,0.0,0,65
7520,Lp2-2,0.0,0.0,0,471,0,65,0.0,0,65
7521,Lp2-6,0.0169851380042,0.0,8,471,0,65,0.0,0,65
7522,Mr-0,0.00849256900212,0.0,4,471,0,65,0.0,0,65
7523,Pna-17,0.0,0.0,0,471,0,65,0.0,0,65
7524,Rmx-A02,0.0,0.0,0,471,0,65,0.0,0,65
7525,Rmx-A180,0.0276008492569,0.276923076923,13,471,18,65,0.0,0,65
7526,Pna-10,0.0169851380042,0.0,8,471,0,65,0.0,0,65
8213,Pro-0,0.0169851380042,0.276923076923,8,471,18,65,0.0,0,65
8214,Gy-0,0.00212314225053,0.292307692308,1,471,19,65,0.0,0,65
8215,Fei-0,0.15923566879,-1,75,471,0,0,0.907692307692,59,65
8222,Lis-2,0.0382165605096,0.0,18,471,0,65,0.0,0,65
8230,Algutsrum,0.188959660297,0.0,89,471,0,2,0.969230769231,63,65
8231,Brö-1-6,0.0212314225053,0.0,10,471,0,65,0.0,0,65
8233,Dem-4,0.715498938429,-1,337,471,0,0,1.0,65,65
8234,Gul-1-2,0.167728237792,0.0,79,471,0,1,0.984615384615,64,65
8235,Hod,0.233545647558,0.0,110,471,0,2,0.969230769231,63,65
8236,HSm,0.0276008492569,0.0,13,471,0,65,0.0,0,65
8237,Kävlinge-1,0.00849256900212,0.0,4,471,0,65,0.0,0,65
8238,Kent,0.314225053079,0.0,148,471,0,6,0.907692307692,59,65
8239,Köln,0.0233545647558,-1,11,471,0,0,0.153846153846,10,65
8240,Kulturen-1,0.248407643312,0.0,117,471,0,2,0.969230769231,63,65
8241,Liarum,0.235668789809,0.0,111,471,0,2,0.969230769231,63,65
8242,Lillö-1,0.216560509554,0.0,102,471,0,6,0.907692307692,59,65
8243,N6002,0.447983014862,-1,211,471,0,0,1.0,65,65
8244,N6034,0.0849256900212,0.0,40,471,0,65,0.0,0,65
8245,N6187,0.774946921444,0.0,365,471,0,1,0.984615384615,64,65
8246,NC-6,0.0276008492569,0.0,13,471,0,65,0.0,0,65
8247,San-2,0.422505307856,-1,199,471,0,0,1.0,65,65
8249,Vimmerby,0.0615711252654,0.0,29,471,0,65,0.0,0,65
8252,Alc-0,0.783439490446,0.0,369,471,0,1,0.984615384615,64,65
8254,Ang-0,0.00849256900212,0.0,4,471,0,65,0.0,0,65
8255,App-1-4,0.269639065817,-1,127,471,0,0,1.0,65,65
8256,Bå-1-2,0.178343949045,0.0,84,471,0,1,0.984615384615,64,65
8257,Bå-3-3,0.00849256900212,0.0,4,471,0,65,0.0,0,65
8258,Bå-4-1,0.0127388535032,0.0,6,471,0,65,0.0,0,65
8259,Bå-5-1,0.0764331210191,0.0,36,471,0,65,0.0,0,65
8264,Bla-1,0.766454352442,-1,361,471,0,0,1.0,65,65
8265,Blh-1,0.702760084926,0.0,331,471,0,2,0.969230769231,63,65
8266,Boo-2-1,0.0276008492569,0.0,13,471,0,65,0.0,0,65
8270,Bs-1,0.386411889597,0.0,182,471,0,65,0.0,0,65
8271,Bu-0,0.182590233546,-1,86,471,0,0,1.0,65,65
8274,Can-0,0.231422505308,0.0,109,471,0,2,0.969230769231,63,65
8275,Cen-0,0.0615711252654,0.0,29,471,0,65,0.0,0,65
8278,Co,0.171974522293,-1,81,471,0,0,1.0,65,65
8282,Di-0,0.0297239915074,0.0,14,471,0,65,0.0,0,65
8283,Dra-3-1,0.700636942675,-1,330,471,0,0,1.0,65,65
8284,DraII-1,0.00636942675159,0.0,3,471,0,65,0.0,0,65
8285,DraIII-1,0.0,0.0,0,471,0,65,0.0,0,65
8290,En-1,0.414012738854,0.0,195,471,0,29,0.553846153846,36,65
8296,Gd-1,0.762208067941,0.0,359,471,0,2,0.969230769231,63,65
8297,Ge-0,0.437367303609,-1,206,471,0,0,1.0,65,65
8300,Gr-1,0.0509554140127,0.0,24,471,0,65,0.0,0,65
8303,H55,0.590233545648,0.0,278,471,0,2,0.969230769231,63,65
8304,Hi-0,0.821656050955,-1,387,471,0,0,1.0,65,65
8305,Hov-2-2,0.00424628450106,0.0,2,471,0,65,0.0,0,65
8306,Hov-4-1,0.205944798301,0.0,97,471,0,2,0.969230769231,63,65
8307,Hovdala-6,0.225053078556,0.0,106,471,0,5,0.923076923077,60,65
8310,Hs-0,0.770700636943,0.0,363,471,0,2,0.969230769231,63,65
8311,In-0,0.573248407643,0.0,270,471,0,1,0.984615384615,64,65
8312,Is-0,0.414012738854,0.0,195,471,0,2,0.969230769231,63,65
8313,Jm-0,0.0530785562633,0.0,25,471,0,65,0.0,0,65
8314,Ka-0,0.0849256900212,0.0,40,471,0,65,0.0,0,65
8323,Lc-0,0.734607218684,-1,346,471,0,0,1.0,65,65
8325,Lip-0,0.0127388535032,0.0,6,471,0,65,0.0,0,65
8326,Lis-1,0.00849256900212,0.0,4,471,0,65,0.0,0,65
8327,Lis-5,0.0,0.0,0,471,0,65,0.0,0,65
8329,Lm-2,0.123142250531,0.0,58,471,0,65,0.0,0,65
8334,Lu-1,0.0870488322718,0.0,41,471,0,65,0.0,0,65
8335,Lund,0.188959660297,0.0,89,471,0,32,0.507692307692,33,65
8337,Mir-0,0.324840764331,-1,153,471,0,0,0.969230769231,63,65
8343,Na-1,0.288747346072,0.0,136,471,0,4,0.938461538462,61,65
8348,Nw-0,0.779193205945,0.0,367,471,0,2,0.969230769231,63,65
8351,Ost-0,0.337579617834,0.0,159,471,0,2,0.969230769231,63,65
8353,Pa-1,0.787685774947,0.0,371,471,0,64,0.0153846153846,1,65
8354,Per-1,0.0,0.0,0,471,0,65,0.0,0,65
8355,Petergof,0.779193205945,0.0,367,471,0,2,0.969230769231,63,65
8356,Pi-0,0.352441613588,0.0,166,471,0,65,0.0,0,65
8357,Pla-0,0.271762208068,-1,128,471,0,0,1.0,65,65
8365,Rak-2,0.297239915074,-1,140,471,0,0,1.0,65,65
8369,Rev-1,0.496815286624,0.0,234,471,0,1,0.984615384615,64,65
8374,Rsch-4,0.0467091295117,0.0,22,471,0,65,0.0,0,65
8375,Rubezhnoe-1,0.726114649682,0.0,342,471,0,2,0.969230769231,63,65
8376,Sanna-2,0.0828025477707,0.0,39,471,0,65,0.0,0,65
8377,Santa Clara,0.284501061571,0.0,134,471,0,2,0.969230769231,63,65
8378,Sap-0,0.52016985138,0.0,245,471,0,5,0.923076923077,60,65
8380,Sf-1,0.753715498938,0.0,355,471,0,2,0.969230769231,63,65
8386,Sr:5,0.248407643312,0.0,117,471,0,2,0.969230769231,63,65
8387,St-0,0.0509554140127,0.0,24,471,0,64,0.0153846153846,1,65
8388,Stw-0,0.0276008492569,0.0,13,471,0,65,0.0,0,65
8389,Ta-0,0.0403397027601,0.0,19,471,0,65,0.0,0,65
8395,Tu-0,0.295116772824,0.0,139,471,0,1,0.984615384615,64,65
8411,Rd-0,0.0764331210191,0.0,36,471,0,65,0.0,0,65
8419,Will,0.101910828025,0.0,48,471,0,64,0.0,0,65
8424,Kas-2,0.694267515924,0.0,327,471,0,5,0.923076923077,60,65
,NA_rate,mismatch_rate,no_of_NAs,no_of_totals,no_of_mismatches,no_of_non_NA_pairs,relative_NA_rate,relative_no_of_NAs,relative_no_of_totals
4_270620_0,0.326424870466,0.0,63,193,0,106,0.322916666667,62,192
4_270693_0,0.316062176166,0.0,61,193,0,115,0.3125,60,192
4_270697_0,0.316062176166,0.0,61,193,0,115,0.3125,60,192
4_270698_0,0.316062176166,0.0347826086957,61,193,4,115,0.3125,60,192
4_270699_0,0.316062176166,0.0347826086957,61,193,4,115,0.3125,60,192
4_270700_0,0.316062176166,0.0347826086957,61,193,4,115,0.3125,60,192
4_270701_0,0.316062176166,0.0,61,193,0,115,0.3125,60,192
4_270702_0,0.316062176166,0.0347826086957,61,193,4,115,0.3125,60,192
4_270703_0,0.316062176166,0.0347826086957,61,193,4,115,0.3125,60,192
4_270706_0,0.316062176166,0.0,61,193,0,116,0.3125,60,192
4_270710_0,0.316062176166,0.0,61,193,0,116,0.3125,60,192
4_270711_0,0.316062176166,0.0344827586207,61,193,4,116,0.3125,60,192
4_270712_0,0.316062176166,0.0,61,193,0,116,0.3125,60,192
4_270713_0,0.316062176166,0.0,61,193,0,116,0.3125,60,192
4_270714_0,0.316062176166,0.0,61,193,0,116,0.3125,60,192
4_270715_0,0.316062176166,0.0,61,193,0,116,0.3125,60,192
4_270716_0,0.316062176166,0.0,61,193,0,116,0.3125,60,192
4_270717_0,0.316062176166,0.0,61,193,0,116,0.3125,60,192
4_270718_0,0.321243523316,0.0,62,193,0,115,0.317708333333,61,192
4_270719_0,0.321243523316,0.0,62,193,0,115,0.317708333333,61,192
4_270722_0,0.326424870466,0.0353982300885,63,193,4,113,0.322916666667,62,192
4_270723_0,0.326424870466,0.0,63,193,0,113,0.322916666667,62,192
4_270724_0,0.326424870466,0.0,63,193,0,113,0.322916666667,62,192
4_270725_0,0.326424870466,0.0,63,193,0,113,0.322916666667,62,192
4_270726_0,0.326424870466,0.0,63,193,0,113,0.322916666667,62,192
4_270727_0,0.326424870466,0.0,63,193,0,113,0.322916666667,62,192
4_270729_0,0.326424870466,0.0353982300885,63,193,4,113,0.322916666667,62,192
4_270730_0,0.326424870466,0.0353982300885,63,193,4,113,0.322916666667,62,192
4_270731_0,0.326424870466,0.0353982300885,63,193,4,113,0.322916666667,62,192
4_270736_0,0.326424870466,0.0,63,193,0,114,0.322916666667,62,192
4_270736_1,0.326424870466,0.0,63,193,0,114,0.322916666667,62,192
4_270741_0,0.326424870466,0.0350877192982,63,193,4,114,0.322916666667,62,192
4_270742_0,0.326424870466,0.0,63,193,0,114,0.322916666667,62,192
4_270751_0,0.321243523316,0.0347826086957,62,193,4,115,0.317708333333,61,192
4_270752_0,0.321243523316,0.0260869565217,62,193,3,115,0.317708333333,61,192
4_270753_0,0.321243523316,0.0347826086957,62,193,4,115,0.317708333333,61,192
4_270758_0,0.321243523316,0.0347826086957,62,193,4,115,0.317708333333,61,192
4_270759_0,0.321243523316,0.00869565217391,62,193,1,115,0.317708333333,61,192
4_270760_0,0.321243523316,0.0,62,193,0,115,0.317708333333,61,192
4_270761_0,0.321243523316,0.0260869565217,62,193,3,115,0.317708333333,61,192
4_270764_0,0.321243523316,0.0347826086957,62,193,4,115,0.317708333333,61,192
4_270765_0,0.321243523316,0.0347826086957,62,193,4,115,0.317708333333,61,192
4_270766_0,0.321243523316,0.00869565217391,62,193,1,115,0.317708333333,61,192
4_270769_0,0.321243523316,0.0,62,193,0,115,0.317708333333,61,192
4_270770_0,0.321243523316,0.0,62,193,0,115,0.317708333333,61,192
4_270771_0,0.326424870466,0.0,63,193,0,115,0.322916666667,62,192
4_270772_0,0.326424870466,0.0,63,193,0,115,0.322916666667,62,192
4_270773_0,0.326424870466,0.0,63,193,0,115,0.322916666667,62,192
4_270774_0,0.326424870466,0.0,63,193,0,115,0.322916666667,62,192
4_270775_0,0.326424870466,0.0,63,193,0,115,0.322916666667,62,192
4_270776_0,0.326424870466,0.0,63,193,0,115,0.322916666667,62,192
4_270777_0,0.321243523316,0.0,62,193,0,116,0.317708333333,61,192
4_270778_0,0.321243523316,0.0,62,193,0,116,0.317708333333,61,192
4_270779_0,0.321243523316,0.0,62,193,0,116,0.317708333333,61,192
4_270782_0,0.316062176166,0.0,61,193,0,117,0.3125,60,192
4_270783_0,0.310880829016,0.0,60,193,0,117,0.307291666667,59,192
4_270785_0,0.310880829016,0.0,60,193,0,116,0.307291666667,59,192
4_270789_0,0.310880829016,0.0,60,193,0,116,0.307291666667,59,192
4_270790_0,0.310880829016,0.0,60,193,0,116,0.307291666667,59,192
4_270814_0,0.284974093264,0.0,55,193,0,120,0.28125,54,192
4_270862_0,0.264248704663,0.00806451612903,51,193,1,124,0.260416666667,50,192
4_270887_0,0.259067357513,0.0,50,193,0,124,0.255208333333,49,192
4_270898_0,0.259067357513,0.0,50,193,0,124,0.255208333333,49,192
4_270944_0,0.145077720207,0.0,28,193,0,145,0.140625,27,192
4_270960_1,0.0984455958549,0.0,19,193,0,153,0.09375,18,192
